boot 	 time 	 is 	 super 	 fast 	 , 	 around 	 anywhere 	 from 	 35 	 seconds 	 to 	 1 	 minute 	 . 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
boot 	 time 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
Predicted: 2	 Actual: 2	

0.019802747	0.021814788	0.030342802	0.07506593	0.05890779	0.017925061	0.021917049	0.034520235	0.019769762	0.0099057695	0.04321326	0.01930097	0.009325651	0.040637247	0.014823031	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352	0.008657352
0.083706975	0.026598353	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425	0.0114063425


tech 	 support 	 would 	 not 	 fix 	 the 	 problem 	 unless 	 i 	 bought 	 your 	 plan 	 for 	 $ 	 150 	 plus 	 . 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
tech 	 support 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
Predicted: 0	 Actual: 0	

0.033901643	0.038348824	0.037732974	0.038871538	0.04444081	0.017411571	0.023197448	0.024507463	0.035882335	0.032974996	0.022821344	0.046110053	0.015172398	0.033252645	0.008299307	0.02292465	0.013602422	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393	0.00810393
0.06568245	0.049946845	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085	0.011338085


set 	 up 	 was 	 easy 	 . 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
set 	 up 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 pad 	 
Predicted: 2	 Actual: 2	

0.03009338	0.02597519	0.038968988	0.11098734	0.029598812	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684	0.010191684
